ANP;DESCRICAO
820101027;DIESEL B4 METROPOLITANO PARA GERACAO DE ENERGIA ELETRICA
820101007;DIESEL B4 S1800 - ADITIVADO
820101002;DIESEL B4 S1800 - COMUM
820101028;DIESEL B4 S50 ADITIVADO
820101029;DIESEL B4 S50 COMUM
820101009;DIESEL B4 S500 - ADITIVADO
820101008;DIESEL B4 S500 - COMUM
820101011;DIESEL B5 INTERIOR ADITIVADO
820101003;DIESEL B5 INTERIOR COMUM
820101013;DIESEL B5 METROPOLITANO ADITIVADO
820101012;DIESEL B5 METROPOLITANO COMUM
820101017;DIESEL MARITIMO - DMA B2
820101018;DIESEL MARITIMO - DMA B5
820101019;DIESEL MARITIMO - DMB B2
820101020;DIESEL MARITIMO - DMB B5
820101021;DIESEL NAUTICO B2 ESPECIAL - 200 PPM ENXOFRE
330101003;DILUENTE DE TINTAS
130202006;DILUENTE PARA REPROCESSAMENTO
110203014;DJENO BLEND
420201001;DMA - MGO
420201003;DMB - MDO
120204010;DOLPHIN
110103007;DOM JOAO
110204017;DOROOD
110204051;DSL
110204018;DUBAI
110205022;DURI CRUDE OIL
110203069;EA CRUDE
110203015;EAST ZEIT MIX
110206005;EKOFISH
110203016;EL HUEMEL
110203017;EL MORGAN
110203018;EL ORIENTE
110203088;EL SHARARA
110203019;EMERAUDE
530101003;EMULSOES ASFALTICAS
530101019;EMULSOES ASFALTICAS CATIONICAS MODIFICADAS POR POLIMEROS ELASTOMERICOS
110101014;ENCHOVA
620101002;ENGRENAGENS E SISTEMAS CIRCULATORIOS
720101001;ENXOFRE LIQUIDO
720101002;ENXOFRE SOLIDO
120205004;ERAWAN
110203079;ERHA
110203020;ES SIDER
110201019;ESCALANTE
110203021;ESCRAVOS
110108005;ESPADA
110101015;ESPADARTE
110104002;ESPIRITO SANTO
110101016;ESPIRITO SANTO SUBMARINO
620101007;ESTAMPAGEM
140102001;ESTER METILICO
110105004;ESTREITO
110107003;ESTRELA DO MAR
110203095;ETAME
210301001;ETANO
810102001;ETANOL ANIDRO
810102004;ETANOL ANIDRO COM CORANTE
810102002;ETANOL ANIDRO FORA DE ESPECIFICACAO
130201002;ETANOL ANIDRO INSUMO PARA BIODIESEL
810102003;ETANOL ANIDRO PADRAO
810101002;ETANOL HIDRATADO ADITIVADO
810101001;ETANOL HIDRATADO COMUM
810101003;ETANOL HIDRATADO FORA DE ESPECIFICACAO
210301002;ETENO
330201010;ETILBENZENO
110204016;FAO BLEND
110105005;FAZENDA ALEGRE
110105006;FAZENDA BELEM
110105007;FAZENDA POCINHO
110104003;FAZENDA SAO RAFAEL
110206006;FLOTTA
